kode_pendaftar,nama,penghasilan,pekerjaan,status,tanggungan,nilai_raport,nilai_tes,prestasi,pkh,kks,kip,target
P003,Lina,Rendah,Formal,Yatim Piatu,Sedang,Sedang,Rendah,Tidak ada,Tidak Ada,Ada,Ada,Layak
P004,Umar,Menengah,Formal,Piatu,Sedikit,Tinggi,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P005,Dedi,Menengah,Formal,Yatim,Banyak,Rendah,Rendah,Banyak,Ada,Tidak Ada,Ada,Layak
P008,Oka,Menengah,Informal,Piatu,Sedikit,Rendah,Tinggi,Banyak,Tidak Ada,Ada,Tidak Ada,Layak
P009,Eka,Rendah,Informal,Yatim,Sedikit,Tinggi,Tinggi,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Layak
P010,Oka,Tinggi,Tidak Bekerja,Lengkap,Sedikit,Rendah,Tinggi,Tidak ada,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P011,Fajar,Menengah,Formal,Lengkap,Banyak,Tinggi,Rendah,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P012,Fajar,Tinggi,Tidak Bekerja,Piatu,Banyak,Rendah,Tinggi,Tidak ada,Tidak Ada,Ada,Ada,Tidak Layak
P014,Umar,Sangat Rendah,Tidak Bekerja,Yatim Piatu,Sedikit,Tinggi,Rendah,Tidak ada,Tidak Ada,Ada,Tidak Ada,Layak
P015,Rina,Tinggi,Tidak Bekerja,Single Parent,Banyak,Tinggi,Rendah,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P016,Budi,Tinggi,Tidak Bekerja,Yatim,Sedikit,Rendah,Sedang,Tidak ada,Ada,Ada,Ada,Layak
P017,Tono,Rendah,Tidak Bekerja,Lengkap,Sedang,Rendah,Tinggi,Tidak ada,Tidak Ada,Tidak Ada,Ada,Layak
P018,Budi,Tinggi,Tidak Bekerja,Yatim Piatu,Sedang,Rendah,Rendah,Tidak ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P019,Fajar,Sangat Rendah,Tidak Bekerja,Yatim Piatu,Banyak,Sedang,Rendah,Tidak ada,Ada,Ada,Tidak Ada,Tidak Layak
P020,Hadi,Menengah,Informal,Yatim,Sedikit,Sedang,Tinggi,Tidak ada,Ada,Ada,Ada,Layak
P021,Indah,Rendah,Informal,Yatim Piatu,Sedang,Rendah,Sedang,Tidak ada,Ada,Tidak Ada,Ada,Layak
P022,Budi,Tinggi,Informal,Yatim Piatu,Banyak,Tinggi,Tinggi,Banyak,Tidak Ada,Ada,Ada,Layak
P024,Tono,Sangat Rendah,Formal,Yatim,Sedang,Rendah,Tinggi,Tidak ada,Ada,Ada,Tidak Ada,Layak
P026,Eka,Tinggi,Informal,Lengkap,Sedikit,Sedang,Tinggi,Banyak,Ada,Ada,Ada,Layak
P027,Dedi,Menengah,Tidak Bekerja,Yatim,Sedang,Sedang,Rendah,Sedikit,Tidak Ada,Ada,Tidak Ada,Layak
P028,Gina,Rendah,Informal,Lengkap,Sedikit,Tinggi,Tinggi,Tidak ada,Tidak Ada,Tidak Ada,Ada,Layak
P029,Eka,Menengah,Formal,Yatim Piatu,Sedang,Rendah,Rendah,Banyak,Tidak Ada,Tidak Ada,Ada,Tidak Layak
P030,Eka,Menengah,Tidak Bekerja,Yatim Piatu,Banyak,Tinggi,Sedang,Banyak,Ada,Ada,Ada,Layak
P031,Budi,Sangat Rendah,Informal,Single Parent,Banyak,Rendah,Sedang,Tidak ada,Ada,Tidak Ada,Tidak Ada,Layak
P033,Dedi,Tinggi,Tidak Bekerja,Yatim,Banyak,Sedang,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P034,Gina,Tinggi,Tidak Bekerja,Yatim Piatu,Sedikit,Rendah,Sedang,Sedikit,Tidak Ada,Ada,Ada,Layak
P035,Indah,Tinggi,Informal,Piatu,Sedikit,Sedang,Sedang,Banyak,Tidak Ada,Tidak Ada,Ada,Tidak Layak
P037,Citra,Sangat Rendah,Informal,Single Parent,Sedikit,Sedang,Rendah,Banyak,Tidak Ada,Ada,Ada,Layak
P039,Andi,Rendah,Tidak Bekerja,Yatim Piatu,Banyak,Sedang,Tinggi,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P040,Gina,Menengah,Informal,Yatim,Sedang,Tinggi,Tinggi,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Layak
P041,Hadi,Tinggi,Formal,Yatim,Banyak,Rendah,Sedang,Banyak,Tidak Ada,Ada,Ada,Tidak Layak
P043,Rina,Rendah,Formal,Yatim Piatu,Sedang,Sedang,Rendah,Tidak ada,Ada,Ada,Tidak Ada,Layak
P044,Rina,Tinggi,Tidak Bekerja,Single Parent,Sedikit,Rendah,Sedang,Tidak ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P045,Rina,Tinggi,Formal,Yatim Piatu,Sedikit,Tinggi,Sedang,Sedikit,Tidak Ada,Ada,Tidak Ada,Layak
P046,Sari,Tinggi,Formal,Yatim,Sedang,Sedang,Rendah,Banyak,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P047,Sari,Sangat Rendah,Tidak Bekerja,Yatim,Sedikit,Sedang,Tinggi,Tidak ada,Ada,Ada,Tidak Ada,Layak
P048,Lina,Tinggi,Informal,Lengkap,Sedikit,Sedang,Sedang,Banyak,Ada,Tidak Ada,Tidak Ada,Tidak Layak
P049,Putra,Menengah,Informal,Yatim Piatu,Banyak,Tinggi,Tinggi,Banyak,Ada,Tidak Ada,Ada,Layak
P050,Sari,Sangat Rendah,Informal,Piatu,Banyak,Tinggi,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P051,Indah,Sangat Rendah,Informal,Single Parent,Banyak,Tinggi,Rendah,Tidak ada,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P054,Lina,Sangat Rendah,Formal,Yatim,Sedikit,Rendah,Sedang,Banyak,Ada,Ada,Tidak Ada,Layak
P055,Tono,Rendah,Formal,Single Parent,Banyak,Tinggi,Rendah,Tidak ada,Tidak Ada,Ada,Ada,Layak
P056,Umar,Tinggi,Informal,Yatim,Sedikit,Tinggi,Tinggi,Banyak,Ada,Ada,Tidak Ada,Layak
P057,Nina,Sangat Rendah,Formal,Lengkap,Sedang,Tinggi,Sedang,Banyak,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P058,Indah,Tinggi,Tidak Bekerja,Yatim Piatu,Sedang,Tinggi,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P059,Hadi,Tinggi,Informal,Yatim Piatu,Banyak,Tinggi,Sedang,Sedikit,Ada,Ada,Tidak Ada,Layak
P061,Nina,Menengah,Informal,Piatu,Banyak,Tinggi,Sedang,Banyak,Ada,Ada,Ada,Layak
P062,Hadi,Tinggi,Formal,Yatim,Banyak,Sedang,Tinggi,Banyak,Tidak Ada,Tidak Ada,Ada,Tidak Layak
P064,Sari,Menengah,Informal,Yatim Piatu,Sedang,Sedang,Sedang,Tidak ada,Ada,Ada,Tidak Ada,Layak
P065,Lina,Rendah,Tidak Bekerja,Yatim,Banyak,Sedang,Sedang,Banyak,Tidak Ada,Ada,Ada,Layak
P067,Indah,Tinggi,Tidak Bekerja,Lengkap,Banyak,Sedang,Sedang,Sedikit,Tidak Ada,Tidak Ada,Ada,Layak
P068,Joko,Tinggi,Tidak Bekerja,Lengkap,Sedang,Sedang,Rendah,Banyak,Ada,Ada,Ada,Tidak Layak
P069,Joko,Sangat Rendah,Tidak Bekerja,Lengkap,Banyak,Sedang,Tinggi,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P070,Citra,Tinggi,Informal,Single Parent,Banyak,Rendah,Tinggi,Banyak,Ada,Ada,Ada,Tidak Layak
P071,Hadi,Rendah,Tidak Bekerja,Yatim,Banyak,Rendah,Rendah,Tidak ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P072,Sari,Menengah,Formal,Piatu,Banyak,Sedang,Rendah,Banyak,Ada,Tidak Ada,Ada,Layak
P074,Kiki,Menengah,Formal,Yatim Piatu,Sedang,Tinggi,Tinggi,Sedikit,Tidak Ada,Ada,Ada,Layak
P075,Fajar,Menengah,Tidak Bekerja,Lengkap,Sedikit,Tinggi,Tinggi,Banyak,Ada,Tidak Ada,Ada,Layak
P076,Kiki,Tinggi,Formal,Yatim Piatu,Sedang,Rendah,Tinggi,Sedikit,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P077,Sari,Menengah,Formal,Lengkap,Sedikit,Sedang,Sedang,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Layak
P078,Gina,Sangat Rendah,Informal,Lengkap,Sedang,Sedang,Sedang,Tidak ada,Tidak Ada,Ada,Tidak Ada,Layak
P079,Putra,Menengah,Formal,Yatim Piatu,Banyak,Sedang,Rendah,Tidak ada,Tidak Ada,Ada,Tidak Ada,Layak
P080,Dedi,Sangat Rendah,Tidak Bekerja,Single Parent,Sedikit,Tinggi,Rendah,Sedikit,Ada,Tidak Ada,Ada,Layak
P082,Nina,Tinggi,Formal,Yatim,Sedang,Rendah,Tinggi,Banyak,Ada,Ada,Tidak Ada,Tidak Layak
P084,Nina,Menengah,Formal,Single Parent,Sedang,Sedang,Sedang,Tidak ada,Ada,Tidak Ada,Ada,Layak
P085,Tono,Sangat Rendah,Informal,Yatim Piatu,Banyak,Sedang,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P086,Indah,Menengah,Tidak Bekerja,Yatim Piatu,Sedikit,Tinggi,Sedang,Tidak ada,Ada,Tidak Ada,Ada,Tidak Layak
P087,Budi,Menengah,Formal,Yatim Piatu,Banyak,Rendah,Sedang,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
